account length;location code;user id;credit card info save;push status;add to wishlist;desktop sessions;app sessions;desktop transactions;total product detail views;session duration;promotion clicks;avg order value;sale product views;discount rate per visited products;product detail view per app session;app transactions;add to cart per session;customer service calls;churn
57;408;3952854;no;yes;25;177;30;17;94;195;75;213,5;116;9,61;8,3;4;2,24;0;0
72;415;3621407;no;yes;37;220;37;18;80;217;102;152,8;71;6,88;14,7;6;3,97;3;0
36;408;3419764;no;yes;30;146;25;14;128;163;80;129,3;109;5,82;14,5;6;3,92;0;0
78;415;3533305;no;no;0;131;22;19;64;224;116;227,8;108;10,25;10;5;2,7;1;0
136;415;4021381;yes;yes;33;204;35;16;106;188;99;101,7;107;4,58;10,5;6;2,84;3;0
149;408;3329891;no;no;0;140;24;23;94;272;92;188,3;108;8,47;11,1;9;3;1;0
98;408;3729976;no;no;0;126;21;14;102;167;85;187,8;135;8,45;9,4;2;2,54;3;0
135;408;3836029;yes;yes;41;173;29;17;85;204;107;122,2;78;5,5;14,6;15;3,94;0;1
34;510;3537289;no;no;0;125;21;24;82;282;98;311,5;78;14,02;10;4;2,7;2;0
160;415;3907274;no;no;0;86;15;14;77;165;110;178,5;92;8,03;9,2;4;2,48;3;0
64;510;3521237;no;no;0;154;26;19;67;226;118;265,3;86;11,94;3,5;3;0,95;1;0
59;408;3533061;no;yes;28;121;21;18;97;213;92;163,1;116;7,34;8,5;5;2,3;2;0
65;415;3635450;no;no;0;211;36;14;120;163;122;134,7;118;6,06;13,2;5;3,56;3;0
142;408;3641995;no;no;0;187;32;11;133;135;74;242,2;127;10,9;7,4;5;2;2;0
119;415;3981294;no;no;0;159;27;20;114;231;117;143,2;91;6,44;8,8;3;2,38;5;1
97;415;4057146;no;yes;24;133;23;18;135;217;58;70,6;79;3,18;11;3;2,97;1;0
52;408;4134957;no;no;0;192;33;23;108;270;96;236,8;87;10,66;7,8;5;2,11;3;0
60;408;4205645;no;no;0;221;38;18;57;211;115;249;129;11,21;6,8;3;1,84;1;0
10;408;3494396;no;no;0;186;32;16;112;190;66;282,8;57;12,73;11,4;6;3,08;2;0
96;415;4043211;no;no;0;160;27;23;117;268;67;228,5;68;10,28;9,3;5;2,51;2;0
87;415;3533759;no;no;0;151;26;19;83;220;116;203,9;127;9,18;9,7;3;2,62;5;1
81;408;3635947;no;no;0;176;30;21;67;249;85;270,2;98;12,16;10,2;3;2,75;1;0
141;415;3405121;no;no;0;127;22;15;98;180;62;140,8;128;6,34;8;2;2,16;1;0
121;408;3707574;no;yes;30;198;34;6;129;75;77;181,2;77;8,15;5,8;3;1,57;3;1
68;415;4039733;no;no;0;149;25;21;70;247;164;129,8;103;5,84;12,1;3;3,27;3;0
125;408;3557251;no;no;0;229;39;15;103;177;126;189,3;95;8,52;12;8;3,24;1;0
174;408;3595893;no;no;0;192;33;14;97;170;94;166,6;54;7,5;11,4;4;3,08;1;0
116;415;4053371;no;yes;34;269;46;15;83;178;142;166,3;106;7,48;11,6;3;3,13;2;0
74;510;3445117;no;yes;33;194;33;21;91;246;96;138;92;6,21;14,6;3;3,94;2;0
149;408;3328160;no;yes;28;181;31;16;92;188;64;265,5;53;11,95;12,6;3;3,4;3;0
38;408;3594081;no;no;0;131;22;14;98;163;97;159;106;7,15;8,2;6;2,21;2;0
40;415;3528305;no;yes;41;148;25;14;74;170;88;214,1;102;9,63;6,2;5;1,67;2;0
43;415;3299847;yes;no;0;252;43;18;105;213;104;157,8;67;7,1;9,3;4;2,51;0;0
113;408;3659011;yes;no;0;125;21;18;93;206;119;129,3;139;5,82;8,3;8;2,24;0;0
126;408;3389472;no;no;0;212;36;18;70;217;80;153,5;60;6,91;7,8;1;2,11;1;0
150;510;3748042;no;no;0;179;30;14;101;169;110;148,6;100;6,69;13,8;3;3,73;4;1
138;408;3591231;no;no;0;242;41;14;93;171;83;295,3;104;13,29;11,8;7;3,19;3;0
162;510;4137170;no;yes;46;225;38;16;97;188;84;254,6;61;11,46;12,1;2;3,27;0;0
147;510;4152935;no;no;0;249;42;13;83;149;85;172,5;109;7,76;8;4;2,16;3;0
90;415;3994246;no;no;0;203;35;19;146;227;117;152,4;105;6,86;7,3;4;1,97;1;0
85;415;3625889;no;no;0;236;40;13;109;157;94;188,2;99;8,47;12;3;3,24;0;0
50;415;3508921;no;no;0;157;27;19;90;223;72;181,4;111;8,16;6,1;2;1,65;1;0
82;415;3745353;no;no;0;300;51;15;109;181;100;270,1;73;12,15;11,7;4;3,16;0;1
144;408;3601171;no;no;0;62;10;7;117;77;85;173;99;7,79;8,2;7;2,21;4;1
46;415;3558887;no;no;0;214;36;14;72;164;104;177,5;113;7,99;8,2;3;2,21;2;0
70;408;3331967;no;no;0;170;29;13;98;155;102;228,6;76;10,29;15;2;4,05;1;0
144;415;3544577;no;no;0;201;34;26;99;304;74;224;119;10,08;13,2;2;3,56;1;0
116;415;3317425;yes;no;0;215;37;17;104;205;79;278,5;109;12,53;12,6;5;3,4;3;0
55;408;4192637;no;yes;25;166;28;12;123;136;95;175,7;90;7,91;11;2;2,97;3;0
70;415;4111530;no;yes;24;250;42;22;101;260;98;222,7;68;10,02;9,8;4;2,65;1;0
106;510;3953026;no;no;0;211;36;21;96;249;85;191,4;88;8,61;12,4;1;3,35;2;1
128;510;3886441;no;yes;29;179;30;19;104;226;86;323;78;14,54;8,6;7;2,32;0;0
94;408;4021251;no;no;0;158;27;13;105;155;101;189,6;84;8,53;8;5;2,16;4;1
111;510;4129997;no;no;0;214;36;18;118;209;76;182,4;98;8,21;12;2;3,24;1;0
74;415;3467302;no;yes;35;154;26;10;104;123;84;202,1;57;9,09;10,9;9;2,94;2;0
128;415;3589095;no;no;0;238;40;21;125;248;93;208,9;68;9,4;13,9;4;3,75;1;1
82;510;4009770;no;no;0;144;24;17;61;195;105;109,6;94;4,93;11,1;2;3;1;0
155;415;3341275;no;no;0;203;35;16;100;191;104;196;119;8,82;8,9;4;2,4;0;1
80;415;3404953;no;no;0;124;21;15;100;173;107;253,2;62;11,39;7,9;9;2,13;1;0
78;415;4009510;no;no;0;253;43;15;93;178;112;263,9;105;11,88;9,5;7;2,57;3;0
90;415;3876103;no;no;0;179;30;16;71;191;81;127,7;91;5,75;10,6;7;2,86;3;0
104;408;3664467;no;no;0;278;47;7;106;81;113;163,2;137;7,34;9,8;5;2,65;1;0
73;415;3703450;no;no;0;160;27;18;110;213;72;174,1;72;7,83;13;4;3,51;0;0
99;415;3273954;no;no;0;198;34;18;87;207;76;190,9;113;8,59;8,7;3;2,35;4;0
120;408;3556291;no;no;0;212;36;18;131;209;104;167,2;96;7,52;5,3;5;1,43;1;1
77;415;3629748;no;no;0;252;43;17;72;206;126;275,2;109;12,38;9,8;7;2,65;2;1
98;510;3796506;no;yes;21;161;27;21;114;252;83;160,2;92;7,21;4,4;8;1,19;4;0
108;415;3477741;no;no;0;178;30;16;137;189;76;129,1;102;5,81;14,6;5;3,94;0;0
135;415;3543783;no;no;0;152;26;10;82;119;105;180;100;8,1;10,5;6;2,84;0;0
95;408;4017594;no;no;0;135;23;16;99;184;106;245,3;102;11,04;12,5;9;3,38;1;0
122;408;3974976;no;no;0;171;29;15;94;174;109;248,6;75;11,19;11,3;2;3,05;1;0
95;408;3342577;no;no;0;238;40;16;65;187;98;190;115;8,55;11,8;4;3,19;4;0
36;510;4003637;no;yes;29;281;48;17;102;202;76;187,2;113;8,42;9;6;2,43;2;0
93;510;3834361;no;yes;21;118;20;14;131;165;115;217;86;9,76;9,8;3;2,65;1;0
141;415;3714306;no;yes;32;149;25;11;91;131;97;219,4;142;9,87;10,1;1;2,73;1;0
157;408;4034298;no;no;0;230;39;13;90;148;121;241,4;108;10,86;9,6;7;2,59;3;0
120;408;4093786;no;no;0;165;28;27;100;317;83;119,2;86;5,36;8,3;8;2,24;1;0
103;415;3374697;no;no;0;185;31;19;117;223;94;222,8;91;10,03;12,6;2;3,4;2;0
98;408;3831509;no;no;0;161;27;16;117;191;113;227,7;113;10,25;12,1;4;3,27;4;0
125;408;3599794;no;no;0;127;22;18;108;206;90;247,8;114;11,15;13,3;7;3,59;1;0
63;415;4077035;no;no;0;59;10;14;125;170;59;211,4;88;9,51;9,4;3;2,54;1;0
36;510;3631069;yes;yes;42;197;33;22;89;255;122;138,3;126;6,22;20;6;5,4;0;1
64;510;3914652;no;no;0;163;28;13;83;152;109;57,5;122;2,59;14,2;3;3,83;1;0
74;415;3556837;no;no;0;283;48;19;114;220;48;170;115;7,65;9,4;4;2,54;1;1
112;510;4091244;no;yes;36;114;19;13;117;158;82;177,6;118;7,99;10;3;2,7;2;0
97;408;3283266;no;no;0;240;41;18;125;215;111;143,3;81;6,45;8,7;5;2,35;2;0
46;408;3527072;no;no;0;210;36;19;92;227;77;200,1;116;9;13,1;7;3,54;1;0
41;408;3707550;no;yes;22;214;36;12;102;142;86;142,2;123;6,4;7,2;3;1,94;0;0
121;510;3695526;no;no;0;191;32;16;103;184;117;220,8;103;9,94;9,8;4;2,65;3;0
193;415;3294391;no;no;0;171;29;11;124;132;95;112,9;89;5,08;11,6;3;3,13;1;0
130;510;4084195;no;no;0;154;26;9;119;110;98;227,4;117;10,23;9,2;5;2,48;2;0
85;408;3544445;no;no;0;201;34;20;52;229;104;252,5;106;11,36;12;3;3,24;1;0
162;415;3354858;no;no;0;71;12;13;108;158;87;154,8;82;6,97;9,1;3;2,46;4;1
61;510;4148718;no;yes;27;188;32;12;124;147;103;225,7;129;10,16;6,4;6;1,73;4;1
92;408;4095939;no;no;0;92;16;16;90;194;123;175;86;7,88;9,2;4;2,48;2;0
131;408;3314902;no;yes;36;214;36;14;115;162;117;264,7;102;11,91;9,5;4;2,57;3;0
90;415;3536870;no;no;0;146;25;19;92;218;114;146,9;123;6,61;10,9;2;2,94;3;0
75;408;3552909;no;no;0;166;28;13;125;158;86;256,7;80;11,55;6,1;5;1,65;1;0
78;415;3906101;no;no;0;231;39;20;115;230;140;261,4;120;11,76;9,5;3;2,57;1;0
82;408;4003446;no;no;0;200;34;17;96;201;102;206,1;60;9,27;7,1;1;1,92;4;0
163;408;4115859;no;no;0;197;33;17;109;203;128;206,4;80;9,29;9,1;10;2,46;1;0
91;510;3872919;yes;no;0;130;22;15;112;173;83;247,2;130;11,12;11,2;3;3,02;3;0
75;415;3748525;no;yes;21;176;30;18;97;218;106;237,5;134;10,69;5,3;4;1,43;5;0
91;510;3795592;no;no;0;203;35;18;106;210;113;195,6;129;8,8;12;3;3,24;3;0
127;510;3458237;no;yes;36;183;31;11;117;127;76;263,3;71;11,85;11,2;8;3,02;1;0
113;415;4226690;no;yes;23;205;35;13;101;152;60;158,6;59;7,14;10,2;5;2,75;2;0
110;510;3462359;no;no;0;149;25;23;115;276;84;193,6;112;8,71;12,4;3;3,35;1;0
120;415;3743534;no;yes;39;200;34;19;68;220;97;253,8;116;11,42;10,5;4;2,84;0;0
157;415;3814756;no;yes;28;193;33;17;107;196;74;109,7;139;4,94;6,8;5;1,84;3;0
103;510;3902805;no;no;0;247;42;17;47;196;84;200,5;96;9,02;11,7;4;3,16;1;0
117;408;3902390;yes;no;0;167;28;15;86;178;87;249,4;132;11,22;14,1;7;3,81;2;1
140;415;4199097;no;no;0;232;39;14;101;160;94;110,4;98;4,97;14,3;6;3,86;3;0
127;408;3867281;no;no;0;147;25;17;91;204;78;203,4;110;9,15;13,7;3;3,7;1;0
83;408;3803561;yes;no;0;272;46;18;87;216;126;121,1;105;5,45;11,7;4;3,16;1;0
121;408;3908760;no;no;0;182;31;19;121;218;98;161,6;103;7,27;8,5;5;2,3;1;0
145;408;3666730;no;yes;43;258;44;14;97;162;95;286,9;86;12,91;11,1;4;3;2;0
113;408;3955285;no;no;0;194;33;19;99;221;125;172,3;67;7,75;10,6;6;2,86;1;0
117;415;3543436;no;no;0;103;17;18;119;207;91;299;105;13,46;10,1;7;2,73;1;0
65;408;3367600;no;no;0;188;32;13;116;158;117;227,3;86;10,23;7,5;6;2,03;1;0
56;415;3836293;no;no;0;226;38;21;112;249;118;140,5;142;6,32;6,9;11;1,86;1;0
96;415;3624596;no;no;0;260;44;12;115;146;46;269,5;87;12,13;11,5;4;3,11;5;0
151;408;4013926;no;no;0;179;30;25;116;292;138;265,9;101;11,97;9,8;4;2,65;0;0
83;415;3709116;no;no;0;337;57;19;120;227;116;153,9;114;6,93;15,8;7;4,27;0;1
139;510;3286289;no;yes;23;158;27;21;129;247;96;259,2;112;11,66;13,7;2;3,7;0;0
6;510;3509994;no;no;0;184;31;22;117;257;72;178,6;79;8,04;10,2;2;2,75;1;0
115;510;3514616;no;yes;24;142;24;16;124;183;129;164,8;114;7,42;9,6;4;2,59;1;0
87;415;3605779;no;no;0;136;23;15;97;172;108;137,5;101;6,19;7,1;5;1,92;0;0
141;415;4174885;no;no;0;217;37;21;110;242;111;253,5;103;11,41;12;6;3,24;0;0
141;510;4064710;no;yes;36;188;32;21;99;241;116;229,5;105;10,33;10,5;5;2,84;3;0
62;415;4098743;no;no;0;99;17;12;103;135;122;236,6;82;10,65;12,2;1;3,29;1;0
146;415;3354584;no;no;0;206;35;13;151;149;89;167,2;91;7,52;6,1;3;1,65;1;0
92;415;3619845;no;yes;33;243;41;18;92;214;92;228,7;104;10,29;12,1;2;3,27;2;0
185;510;3665699;no;yes;31;190;32;14;126;163;133;264,8;126;11,92;7,5;3;2,03;1;0
148;415;3299364;no;no;0;202;34;21;102;243;128;261,3;90;11,76;10,9;3;2,94;1;0
94;408;3907434;no;yes;38;170;29;16;124;193;116;105,9;73;4,77;12,8;4;3,46;1;0
32;510;4049680;no;no;0;231;39;16;87;187;90;154;53;6,93;6,3;2;1,7;0;0
68;408;3389398;no;no;0;237;40;19;105;224;105;97,4;79;4,38;13,2;2;3,56;1;0
64;408;3942445;no;yes;27;182;31;14;91;170;98;164,7;86;7,41;10,6;5;2,86;2;0
25;415;3812709;no;no;0;119;20;18;87;212;101;268,9;86;12,1;10,5;4;2,84;3;0
65;415;3975060;no;no;0;117;20;15;87;179;93;182,4;150;8,21;14,1;2;3,81;1;0
179;408;4152393;no;no;0;219;37;13;92;149;125;244,7;104;11,01;6,1;5;1,65;0;0
94;415;3771765;no;no;0;253;43;14;104;169;125;170,9;106;7,69;11,1;7;3;2;0
62;415;4092111;no;no;0;147;25;16;91;190;107;195,2;115;8,78;12,2;3;3,29;0;0
127;415;4013170;no;no;0;202;34;20;103;229;86;195,2;113;8,78;11,5;3;3,11;2;0
116;408;4055681;no;no;0;174;30;17;93;194;76;208;112;9,36;16,2;10;4,37;3;0
70;408;4114582;no;no;0;232;39;25;122;292;112;201,2;112;9,05;0;0;0;3;0
94;510;3555009;yes;yes;23;197;34;18;125;215;136;282,2;103;12,7;9,5;5;2,57;4;0
126;415;3723750;no;no;0;58;10;12;94;139;118;136,8;91;6,16;11,9;1;3,21;5;1
67;408;4052888;no;yes;36;116;20;20;111;238;94;169,9;103;7,65;9,9;12;2,67;2;0
19;408;3613337;no;no;0;186;32;22;98;254;57;214;127;9,63;14,6;7;3,94;2;0
170;510;3501639;yes;no;0;260;44;21;68;245;122;134,4;121;6,05;8,4;3;2,27;3;0
73;415;3333221;no;no;0;214;36;23;145;269;135;241,2;92;10,85;10,8;13;2,92;1;0
106;408;4221471;no;no;0;159;27;5;74;64;139;198,5;103;8,93;10,2;4;2,75;1;0
93;415;3997865;no;no;0;272;46;20;71;229;108;77,3;121;3,48;10,9;3;2,94;2;0
164;510;3734819;no;no;0;161;27;14;111;163;126;187,1;112;8,42;9;3;2,43;1;0
51;408;3386981;no;no;0;232;40;16;109;187;95;231,2;107;10,4;9,1;3;2,46;1;0
107;415;4184365;no;no;0;134;23;15;85;181;94;112,2;115;5,05;8,9;4;2,4;0;0
130;415;3595461;no;no;0;177;30;8;109;91;104;238;69;10,71;9,5;2;2,57;1;0
80;408;3753586;no;no;0;210;36;17;74;195;77;208,2;119;9,37;8,8;4;2,38;2;0
94;415;4078376;no;no;0;138;23;17;118;203;88;150;131;6,75;13,4;2;3,62;0;0
118;408;4086496;no;yes;23;290;49;14;52;167;111;119,1;88;5,36;9,5;4;2,57;1;0
117;415;3857688;no;yes;23;198;34;15;86;177;86;180,5;92;8,12;6,8;6;1,84;1;0
78;415;3326934;no;no;0;150;25;15;119;182;115;261,5;126;11,77;9,7;8;2,62;0;0
208;510;3783625;no;no;0;327;56;15;67;176;113;181,7;102;8,18;10,7;6;2,89;2;1
131;510;3537292;yes;yes;26;293;50;17;101;200;97;255,3;127;11,49;13,8;7;3,73;4;1
63;408;3996786;no;no;0;83;14;15;64;177;106;245,7;89;11,06;13;3;3,51;0;0
53;415;3583261;no;yes;24;146;25;19;146;221;136;249,9;96;11,25;13,1;5;3,54;3;0
62;408;3779932;no;no;0;182;31;28;101;328;93;245;131;11,03;11,2;1;3,02;2;0
97;415;3974030;no;no;0;218;37;16;86;184;94;240,5;110;10,82;6,4;8;1,73;3;0
105;510;3671062;no;no;0;141;24;15;109;179;51;217;83;9,76;6,8;3;1,84;2;0
157;415;3418467;no;no;0;153;26;22;105;258;80;198,1;93;8,91;9,4;4;2,54;1;0
66;415;3399453;no;yes;36;107;18;18;76;210;77;190,4;117;8,57;12,1;2;3,27;1;0
122;415;3443388;no;no;0;244;41;7;98;84;72;179,8;84;8,09;13,7;8;3,7;2;0
38;415;3758013;no;no;0;194;33;16;94;187;95;223,3;90;10,05;10,8;5;2,92;3;0
106;510;4084142;no;no;0;214;36;13;95;152;70;260,1;124;11,7;12,2;5;3,29;3;0
99;510;3863671;no;no;0;217;37;21;112;247;89;226,1;89;10,17;15,8;7;4,27;3;0
99;415;4112284;no;no;0;241;41;13;72;156;98;188,2;109;8,47;11,6;10;3,13;1;0
144;510;3467795;yes;no;0;204;35;21;100;248;103;194,3;94;8,74;11,9;11;3,21;0;0
82;415;3335609;no;yes;24;155;26;21;131;245;106;122,4;68;5,51;10,7;3;2,89;1;0
86;408;4051842;no;yes;31;168;28;10;139;113;118;246,9;121;11,11;12,2;6;3,29;1;0
70;510;3666345;yes;no;0;227;39;19;98;228;115;73,2;93;3,29;17,6;4;4,75;2;1
93;415;3379345;no;no;0;179;30;15;93;179;98;225,2;131;10,13;11,5;6;3,11;3;0
93;415;3286770;no;no;0;151;26;16;89;186;76;172,5;120;7,76;10,9;3;2,94;0;0
120;415;3807321;no;no;0;180;31;19;80;224;82;265,4;91;11,94;4,7;7;1,27;3;0
136;415;3751476;no;no;0;250;43;23;121;267;118;151;114;6,8;13;2;3,51;1;1
106;415;3561567;no;no;0;223;38;9;121;110;98;188,7;107;8,49;7,1;12;1,92;0;0
81;415;4226685;no;no;0;184;31;13;116;153;98;212,2;99;9,55;12,2;6;3,29;3;0
127;408;3361090;no;yes;22;166;28;15;114;175;103;244,9;68;11,02;10,2;6;2,75;1;0
65;415;3432095;no;no;0;136;23;23;112;273;96;220,2;104;9,91;4,4;2;1,19;1;0
35;408;3453934;no;no;0;149;25;21;113;242;122;174,3;104;7,84;8,9;6;2,4;2;0
88;408;3388050;no;no;0;65;11;14;97;168;76;236;113;10,62;13,8;1;3,73;2;0
65;415;3889568;no;no;0;213;36;20;111;235;94;250,1;123;11,25;2,7;4;0,73;1;0
123;415;4026591;no;no;0;207;35;21;85;245;78;221,5;136;9,97;7,7;2;2,08;3;0
126;408;4036419;no;yes;27;186;32;16;78;190;83;76,5;139;3,44;9,6;3;2,59;2;0
104;415;3869790;no;yes;23;280;48;19;136;221;92;136,9;102;6,16;13,3;3;3,59;4;0
45;415;3785692;no;yes;22;197;33;27;84;313;92;163,3;108;7,35;11,9;3;3,21;0;0
93;408;3603324;yes;no;0;312;53;11;109;129;100;217,6;74;9,79;10,5;2;2,84;0;1
63;415;4103719;yes;yes;36;199;34;25;110;291;111;197,6;92;8,89;11;6;2,97;1;0
100;415;3524221;no;no;0;203;35;18;96;217;126;180,9;122;8,14;13,5;2;3,65;3;0
53;415;3276179;no;no;0;169;29;19;97;220;87;154,3;113;6,94;10,9;2;2,94;0;0
92;415;3596196;yes;no;0;173;29;20;140;240;105;233,2;117;10,49;9;5;2,43;1;0
139;510;3749107;no;no;0;134;23;18;106;211;98;193,6;125;8,71;10,2;2;2,75;5;1
110;408;3574078;no;yes;40;203;34;10;103;119;128;234,9;98;10,57;9;9;2,43;2;0
110;408;3665780;no;no;0;75;13;17;117;201;98;192,2;101;8,65;9,8;7;2,65;3;0
215;510;3939619;no;no;0;84;14;10;148;121;91;226,6;110;10,2;10,7;9;2,89;0;0
73;415;3559295;no;no;0;192;33;14;86;169;116;139,8;87;6,29;9,4;6;2,54;1;0
138;510;4005751;no;no;0;220;37;8;89;88;125;195,3;79;8,79;12,9;5;3,48;0;0
137;415;3381027;yes;no;0;135;23;11;95;134;102;223,1;81;10,04;12,3;2;3,32;2;1
36;415;4058867;no;no;0;253;43;16;77;182;151;275,8;103;12,41;8,4;2;2,27;1;0
85;408;3365616;no;no;0;225;38;15;81;177;63;194,3;110;8,74;7,1;2;1,92;3;0
108;408;3351697;no;no;0;199;34;23;99;268;60;354,9;75;15,97;9,4;3;2,54;0;1
22;408;3315138;no;no;0;110;19;14;107;167;93;202,3;96;9,1;9,5;5;2,57;0;0
107;415;3858240;no;yes;37;60;10;9;102;102;80;261,8;106;11,78;11,1;3;3;0;0
51;510;3481359;no;no;0;215;37;13;94;150;58;283,4;66;12,75;10,2;5;2,75;0;0
94;408;3547339;no;no;0;182;31;17;85;202;98;245,9;97;11,07;9,2;2;2,48;4;0
119;510;3491687;no;yes;23;154;26;24;114;278;137;228,4;112;10,28;11,8;4;3,19;2;0
33;415;3802558;no;yes;29;157;27;10;99;118;80;279,2;79;12,56;13,9;11;3,75;4;1
106;415;3652153;no;no;0;208;35;15;91;172;109;191,8;143;8,63;14,4;7;3,89;4;0
82;408;3456043;no;no;0;207;35;20;90;233;83;172,4;108;7,76;9,1;8;2,46;3;0
86;510;3492808;no;yes;41;119;20;20;101;230;134;236,9;58;10,66;9,5;3;2,57;0;0
97;415;4111715;yes;no;0;144;24;23;117;273;82;178,3;81;8,02;10,9;3;2,94;0;0
106;408;3852488;no;yes;32;166;28;18;126;217;93;173,1;86;7,79;14,1;8;3,81;4;0
108;510;3777177;no;no;0;139;24;15;122;172;117;231,6;92;10,42;9,8;3;2,65;1;0
114;415;3421099;no;no;0;85;14;21;118;250;86;193,4;95;8,7;14,5;8;3,92;1;0
92;408;3864170;yes;no;0;63;11;15;111;181;126;221,7;80;9,98;10,4;2;2,81;1;1
59;510;4131269;no;no;0;155;26;20;79;235;123;169,4;80;7,62;8,7;4;2,35;1;0
24;510;3964460;no;yes;25;165;28;18;110;209;105;231,2;55;10,4;6,7;9;1,81;1;0
151;408;3342730;no;no;0;135;23;12;88;143;112;223,9;61;10,08;15,4;1;4,16;1;0
117;415;3403182;no;no;0;143;24;18;103;211;108;185,2;96;8,33;11,5;3;3,11;1;0
78;510;3778608;no;no;0;168;29;19;110;221;73;241;136;10,85;12,5;1;3,38;1;0
155;408;4173676;no;no;0;262;45;17;55;195;113;146,5;85;6,59;8,3;6;2,24;2;0
114;510;4176774;no;yes;30;206;35;22;79;260;91;291,6;83;13,12;11,4;6;3,08;1;0
114;510;4119554;no;yes;28;226;38;16;94;193;117;232,4;100;10,46;8,4;9;2,27;4;0
119;408;4203192;no;no;0;138;24;14;89;171;78;263,9;98;11,88;13,5;6;3,65;3;0
64;510;3891475;no;yes;48;94;16;12;104;136;101;147,4;89;6,63;4,5;4;1,22;0;0
118;408;3437734;yes;no;0;160;27;15;123;175;96;184,8;99;8,32;9,9;3;2,67;2;0
101;415;4103390;no;no;0;207;35;19;105;225;117;249,9;100;11,25;14,6;3;3,94;0;0
117;415;3446495;no;no;0;135;23;15;121;180;83;200,9;104;9,04;7,7;3;2,08;1;0
49;415;3316229;no;yes;28;214;36;20;78;235;100;206,2;107;9,28;8;13;2,16;3;0
139;415;3377501;no;no;0;193;33;20;104;234;96;203,2;101;9,14;13;3;3,51;3;0
92;408;3399631;no;yes;28;151;26;17;90;195;79;239,2;114;10,76;10;3;2,7;1;0
83;415;3694384;no;no;0;221;38;20;103;232;103;122,5;100;5,51;9,8;5;2,65;3;0
